cartype;name;short_name
100;Пассажирские вагоны для перевозки пассажиров в дальнем сообщении;ПАСС
110;Мягкие и мягко-жесткие пассажирские вагоны;ЦММ
140;Купейные жесткие пассажирские вагоны;ЦМК
150;Некупейные жесткие пассажирские вагоны;ЦМО
160;Межобластные пассажирские вагоны;ЦММО
190;Прочие вагоны специализированные для перевозок пассажиров в дальнем сообщении;ПРПАСС
200;Вагоны специализированные для перевозки почты;ПЧТ
210;Почтовые вагоны;ЦМП
220;Банковские вагоны;ЦМБАН
290;Прочие вагоны, специализированные на перевозках почты;ПРПЧТ
300;Вагоны специализированные для перевозки багажа;БАГ
310;Багажные вагоны;ЦМБ
320;Почтово-багажные вагоны;ЦМБП
390;Прочие вагоны специализированные для перевозки багажа;ПРБАГ
400;Прочие вагоны пассажирского парка;ПРПАС
410;Вагоны - рестораны;ЦМР
430;Служебно - технические вагоны пассажирского парка;ЦМС
450;Межобластные вагоны (переоборудованные под пригородные);ПРИГ
470;Специальные вагоны других ведомств;ЦМСПРМ
490;Прочие вагоны пассажирского парка, к.п.о.;ПРПАСП
500;Вагоны дизель-поездов;ТВП
510;Моторный вагон дизель-поезда;ТВПМ
520;Пассажирский вагон дизель-поезда;ТВПП
590;Вагоны дизель-поездов, к.п.о.;ТВППР
600;Вагоны электропоездов;ЭЛП
610;Вагоны электропоездов постоянного тока;ЭЛПА
620;Вагоны головные электропоезда постоянного тока (с кабиной машиниста);ЭЛПАГ
630;Вагоны прицепные электропоезда постоянного тока (без кабины машиниста);ЭЛПАП
640;Вагоны моторные электропоезда постоянного тока;ЭЛПАМ
650;Вагоны электропоездов постоянного тока, к.п.о.;ЭЛПАПР
660;Вагоны электропоездов переменного тока;ЭЛПБ
670;Вагоны головные электропоезда переменного тока (с кабиной машиниста);ЭЛПБГ
680;Вагоны прицепные электропоезда переменного тока (без кабины машиниста);ЭЛПБП
690;Вагоны моторные электропоезда переменного тока;ЭЛПБМ
700;Вагоны электропоездов переменного тока, к.п.о.;ЭЛПБПР
1000;Локомотивы;ЛК
1060;Тендеры локомотивов;ТЕНДЕР
1080;Недействующие локомотивы, машины и механизмы;НДЛМ
1100;Паровозы;ПАР
1110;Паровозы пассажирской службы;ПАРПАС
1120;Паровозы грузовой службы;ПАРГРЗ
1130;Паровозы для промышленных предприятий (маневровые);ПАРМАН
1190;Паровозы, к.п.о.;ПАРПР
1200;Тепловозы;ТВ
1210;Тепловозы магистральные пассажирские;ТВПАС
1220;Тепловозы магистральные пассажирские (односекционные);ТВПАС1
1230;Тепловозы магистральные пассажирские (многосекционные);ТВПАС2
1240;Тепловозы магистральные грузовые;ТВГРЗ
1250;Тепловозы магистральные грузовые (односекционные);ТВГРЗ1
1260;Тепловозы магистральные грузовые (многосекционные);ТВГРЗ2
1280;Тепловозы маневровые промышленные (вывозные);ТВМАН
1290;Тепловозы, к.п.о.;ТВПР
1300;Электровозы;ЭЛ
1310;Электровозы постоянного тока;ЭЛА
1320;Электровозы пассажирские постоянного тока;ЭЛАПС
1330;Электровозы пассажирские постоянного тока (односекционные);ЭЛАПС1
1340;Электровозы пассажирские постоянного тока (многосекционные);ЭЛАПС2
1350;Электровозы грузовые постоянного тока;ЭЛАГР
1360;Электровозы грузовые постоянного тока (односекционные);ЭЛАГР1
1370;Электровозы грузовые постоянного тока (многосекционные);ЭЛАГР2
1380;Электровозы постоянно-переменного тока (двойного питания);ЭЛС
1410;Электровозы переменного тока;ЭЛБ
1420;Электровозы пассажирские переменного тока;ЭЛБПС
1430;Электровозы пассажирские переменного тока (односекционные);ЭЛБПС1
1440;Электровозы пассажирские переменного тока (многосекционные);ЭЛБПС2
1450;Электровозы грузовые переменного тока;ЭЛБГР
1460;Электровозы грузовые переменного тока (односекционные);ЭЛБГР1
1470;Электровозы грузовые переменного тока (многосекционные);ЭДБГР2
1480;Электровозы маневровые;ЭЛАМАН
1490;Электровозы, к.п.о.;ЭЛПР
1500;Путевые машины;ПМ
1600;Краны;КРАН
1900;Служебно-технические;СЛТЕХН
1990;Прочие вагоны нерабочего парка;ПРНП
2000;Крытые вагоны;КВАГОН
2100;Крытые вагоны универсальные;КР
2140;Крытые вагоны универсальные с уширенными дверными проемами;КРУДВР
2190;Крытые вагоны универсальные, к.п.о.;КРПРУ
2300;Крытые вагоны специализированные (хопперы);КРХОПР
2310;Крытые вагоны-хопперы для минеральных удобрений и сырья минеральных удобрений;МВЗ
2320;Крытые вагоны-хопперы для цемента;ХЦМВ
2330;Крытые вагоны и вагоны-хопперы для технического углерода и гранулированной сажи;СЖВ
2340;Крытые вагоны и вагоны-хопперы для технологической щепы и гидролизного сырья;ЩПВ
2350;Крытые вагоны-хопперы для зерна и других пищевых сыпучих грузов;ЗРВ
2360;Крытые комбинированные вагоны-хопперы для глинозема и других грузов;ККХГ
2390;Крытые вагоны специализированные (хопперы), к.п.о.;КРХОПП
2400;Вагоны бункерного типа для насыпных грузов;БНАСЫП
2410;Вагоны бункерного типа для гранулированных полимеров;ГРВ
2420;Вагоны бункерного типа для бестарной перевозки муки;МКВ
2430;Вагоны бункерного типа для цемента и глинозема;ЦМВБ
2500;Крытые вагоны специализированные не выделенные как хопперы;КРСПЕЦ
2510;Крытые вагоны для апатитового концентрата;АПВ
2520;Крытые вагоны для перевозки автомобилей;АВ
2521;Крытые вагоны для двухъярусной перевозки автомобилей;АВ2ЯР
2522;Крытые вагоны для одноярусной перевозки автомобилей (в т.ч. микроавтобусов);АВ1ЯР
2540;Крытые вагоны для легковесных грузов;ЦМГВ
2560;Крытые вагоны для скота и живности одноярусные;СКВ
2570;Крытые вагоны для мелкой живности двухярусные;СКВДВ
2580;Крытые вагоны сборно-раздаточные;СБР
2710;Крытые вагоны 4-осные изотермические (с теплоизоляцией), в т.ч. переоборудованные из вагонов рефсекций и АРВ;ИВТ4
2720;Крытые вагоны 6-осные изотермические (термосы), в т.ч. переоборудованные из вагонов рефсекций и АРВ;ИВТ6
2900;Крытые вагоны специализированные, к.п.о.;КРСППР
