UN;ISO;name;short_name
4;AF;Переходное Исламское Государство Афганистан;АФГАНИСТАН
8;AL;Республика Албания;АЛБАНИЯ
10;AQ;АНТАРКТИДА;АНТАРКТИДА
12;DZ;Алжирская Народная Демократическая Республика (АНДР);АЛЖИР
16;AS;Американское Самоа;АМЕРИКАНСКОЕ САМОА
20;AD;Княжество Андорра;АНДОРРА
24;AO;Республика Ангола;АНГОЛА
28;AG;АНТИГУА И БАРБУДА;АНТИГУА И БАРБУДА
31;AZ;Республика Азербайджан;АЗЕРБАЙДЖАН
32;AR;Аргентинская Республика;АРГЕНТИНА
36;AU;АВСТРАЛИЯ;АВСТРАЛИЯ
40;AT;Австрийская Республика;АВСТРИЯ
44;BS;Содружество Багамы;БАГАМЫ
48;BH;Королевство Бахрейн;БАХРЕЙН
50;BD;Народная Республика Бангладеш;БАНГЛАДЕШ
51;AM;Республика Армения;АРМЕНИЯ
52;BB;БАРБАДОС;БАРБАДОС
56;BE;Королевство Бельгии;БЕЛЬГИЯ
60;BM;БЕРМУДСКИЕ ОСТРОВА;БЕРМУДЫ
64;BT;Королевство Бутан;БУТАН
68;BO;Многонациональное Государство Боливия;БОЛИВИЯ,МНОГОНАЦ.ГОС
70;BA;БОСНИЯ И ГЕРЦЕГОВИНА;БОСНИЯ И ГЕРЦЕГОВ
72;BW;Республика Ботсвана;БОТСВАНА
74;BV;Остров Буве;ОСТРОВ БУВЕ
76;BR;Федеративная Республика Бразилия;БРАЗИЛИЯ
84;BZ;БЕЛИЗ;БЕЛИЗ
86;IO;БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ;БРИТАНСКАЯ ТЕР
90;SB;СОЛОМОНОВЫ ОСТРОВА;СОЛОМОНОВЫ ОСТРОВА
92;VG;Британские Виргинские Острова;ВИРГИН.ОСТРОВА, БРИТ
96;BN;Бруней-Даруссалам;БРУНЕЙ-ДАРУССАЛАМ
100;BG;Республика Болгария;БОЛГАРИЯ
104;MM;Союз Мьянма;МЬЯНМА
108;BI;Республика Бурунди;БУРУНДИ
112;BY;Республика Беларусь;БЕЛАРУСЬ
116;KH;Королевство Камбоджа;КАМБОДЖА
120;CM;Республика Камерун;КАМЕРУН
124;CA;КАНАДА;КАНАДА
132;CV;Республика Кабо-Верде;КАБО-ВЕРДЕ
136;KY;Острова Кайман;ОСТРОВА КАЙМАН
140;CF;ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА;ЦЕНТР.-АФР. РЕСП.
144;LK;Демократическая Социалистическая Республика Шри-Ланка;ШРИ-ЛАНКА
148;TD;Республика Чад;ЧАД
152;CL;Республика Чили;ЧИЛИ
156;CN;Китайская Народная Республика;КИТАЙ
158;TW;ТАЙВАНЬ;ТАЙВАНЬ (КИТАЙ)
162;CX;ОСТРОВ РОЖДЕСТВА;ОСТРОВ РОЖДЕСТВА
166;CC;КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА (в сост. Австралии);КОКОСОВЫЕ(КИЛИНГ) О.
170;CO;Республика Колумбия;КОЛУМБИЯ
