location_i;city_state_x;region_c;milepost_i;latitude;longitude
62850;ОЗИНКИ-ЭКСПОРТ_РФ;НОД-12;66500;51°17'55'';50°2'15''
66000;Кандыагаш (бывш. Кандагач);НОД-11;66000;49°23'32'';57°20'33''
66003;Разъезд    6 км;НОД-11;66003;49°21'40'';57°17'24''
66010;Байтерек (рзд);НОД-13;66010;47°20'57'';53°26'10''
66020;Разъезд № 315;НОД-11;66020;49°17'38'';57°10'33''
66030;Темир;НОД-11;66030;49°15'5'';57°1'44''
66032;Калмаккырган (бывш. Калмыкарган);НОД-11;66032;49°11'3'';56°44'6''
66040;Жаксымай;НОД-11;66040;49°9'1'';56°34'16''
66050;Шубаркудык;НОД-11;66050;49°5'37'';56°23'54''
66051;Кенжалы (бывш. Кинжалы);НОД-11;66051;48°54'37'';56°8'23''
66060;Караулкелды;НОД-11;66060;48°41'37'';55°50'2''
66061;Рзд 174 КМ;НОД-11;66061;48°35'53'';55°38'34''
66063;Оп 202 км;НОД-11;66063;48°27'7'';55°14'53''
66070;Ногайты (бывш. Нугайты);НОД-11;66070;48°21'58'';55°2'23''
66071;Разъезд  236 км;НОД-11;66071;48°18'17'';54°49'55''
66080;Сагиз;НОД-13;66080;48°14'23'';54°36'46''
66081;Разъезд  265 км;НОД-13;66081;48°12'20'';54°29'50''
66082;Разъезд  279 км;НОД-13;66082;48°9'28'';54°20'8''
66083;Мукур;НОД-13;66083;48°6'23'';54°9'45''
66084;Жантерек;НОД-13;66084;48°1'28'';53°53'8''
66085;Кенбай (рзд);НОД-13;66085;47°58'23'';53°42'45''
66090;Менлибай;НОД-9;66090;42°31'37'';70°1'9''
66100;Жамансор;НОД-13;66100;47°54'5'';53°28'12''
66101;Рзд 377 КМ;НОД-13;66101;47°50'44'';53°10'55''
66110;Макат;НОД-13;66110;47°48'33'';52°59'38''
66111;Разъезд №  472;НОД-13;66111;47°38'5'';53°9'45''
66113;Разъезд №  470;НОД-13;66113;47°15'17'';53°31'48''
66114;Разъезд №  469;НОД-13;66114;47°2'57'';53°43'42''
66115;Разъезд  402 км;НОД-13;66115;47°46'50'';52°54'34''
66120;Карабатано;НОД-13;66120;47°36'9'';52°19'31''
66130;Доссор;НОД-13;66130;47°42'42'';52°42'26''
66131;Разъезд 441 км;НОД-13;66131;47°41'16'';52°38'7''
66132;Рзд 414 КМ;НОД-13;66132;47°44'46'';52°48'30''
66140;Искине;НОД-13;66140;47°39'44'';52°33'30''
66141;Таскескен (рзд);НОД-13;66141;47°38'1'';52°26'47''
66143;Рзд 496 КМ;НОД-13;66143;47°32'37'';52°9'37''
66150;Тендык;НОД-13;66150;47°29'35'';52°1'8''
66160;Акжайык;НОД-13;66160;47°21'53'';51°50'6''
66170;Атырау;НОД-13;66170;47°22'2'';51°39'23''
66180;Махамбет;НОД-13;66180;47°28'7'';51°20'35''
66181;Туманное (рзд);НОД-13;66181;47°27'22'';51°4'7''
66182;Разъезд № 16-C;НОД-13;66182;47°26'58'';50°55'0''
66183;Баксай;НОД-13;66183;47°26'38'';50°47'7''
66190;Махамбет (эксп.);НОД-13;66180;47°28'7'';51°20'35''
66200;Дины Нурпеисовой (рзд) (эксп);НОД-13;66240;47°0'17'';48°20'12''
66210;Ак-Кистау;НОД-13;66210;47°26'17'';50°39'13''
66211;Разъезд № 15-A;НОД-13;66211;47°24'0'';50°29'45''
66212;Разъезд № 14-B;НОД-13;66212;47°21'43'';50°20'17''
66213;Нарын (рзд);НОД-13;66213;47°19'35'';50°11'27''
66220;Сазанкурак (бывш. Разъезд №   12);НОД-13;66220;47°17'27'';50°2'37''
66221;Разъезд № 11;НОД-13;66221;47°15'10'';49°53'9''
66222;Исатай;НОД-13;66222;47°13'1'';49°44'19''
66223;Разъезд № 10;НОД-13;66223;47°10'53'';49°35'29''
66224;Разъезд № 9-B;НОД-13;66224;47°8'36'';49°26'1''
66225;Афанасьево (рзд);НОД-13;66225;47°6'37'';49°17'49''
66226;Разъезд № 7-A;НОД-13;66226;47°4'20'';49°8'21''
66227;Разъезд № 6-A;НОД-13;66227;47°2'21'';49°0'9''
66230;Ганюшкино;НОД-13;66230;47°0'50'';48°53'50''
66231;Разъезд № 5-B;НОД-13;66231;47°0'41'';48°44'35''
66232;Разъезд № 4-B;НОД-13;66232;47°0'29'';48°31'58''
66240;Дины Нурпеисовой (рзд);НОД-13;66240;47°0'17'';48°20'12''
66250;Кульсары;НОД-13;66250;46°50'38'';53°55'37''
66251;Разъезд №  468;НОД-13;66251;46°42'41'';53°59'36''
66252;Разъезд №  467;НОД-13;66252;46°34'44'';54°3'35''
66254;Разъезд №  465;НОД-13;66254;46°15'19'';54°15'44''
66260;Опорная;НОД-14;66260;46°4'17'';54°23'42''
66261;Разъезд №  464;НОД-14;66261;45°58'32'';54°28'36''
66262;Разъезд №  463;НОД-14;66262;45°52'29'';54°33'47''
66264;Разъезд №  461;НОД-14;66264;45°36'35'';54°48'14''
66265;Разъезд №  460;НОД-14;66265;45°27'49'';54°56'39''
66270;Акжигит;НОД-14;66270;45°2'16'';55°34'2''
66271;Кзыл-Аскер (рзд);НОД-14;66271;45°8'12'';55°22'27''
66280;Бейнеу;НОД-14;66280;45°16'18'';55°7'42''
66291;Оазис (рзд);НОД-14;66291;44°55'19'';55°58'4''
66300;Устюрт;НОД-14;66300;44°52'57'';54°32'42''
66301;Рзд №   2-Г;НОД-14;66301;45°6'30'';54°54'4''
66310;Сай-Утес;НОД-14;66310;44°28'27'';53°38'55''
66311;Разъезд № 8-г;НОД-14;66311;44°17'18'';53°15'0''
66313;Разъезд № 10-Г;НОД-14;66313;44°14'29'';52°52'52''
66315;Разъезд № 12-Г;НОД-14;66315;44°10'27'';52°19'31''
66320;Шетпе;НОД-14;66320;44°6'40'';51°59'50''
66322;Разъезд № 15-B;НОД-14;66322;43°58'36'';51°39'33''
66330;Мангышлак;НОД-14;66330;43°42'31'';51°18'49''
